Proposal ID,Investigator1,Investigator2
GRT00028694,"Zou, Xianghong","Ganju, Ramesh"
GRT00028694,"Zou, Xianghong","Shen, Rulong Z"
GRT00028694,"Bai, Xue-Feng","Ganju, Ramesh"
GRT00028694,"Bai, Xue-Feng","Shen, Rulong Z"
GRT00028694,"Ganju, Ramesh","Shen, Rulong Z"
GRT00028696,"Winslow, Christopher J","Thomas, Matt Alan"
GRT00028697,"Moldovan, Nicanor Ilie","Belury, Martha"
GRT00028697,"Moldovan, Nicanor Ilie","Gumina, Richard J"
GRT00028697,"Moldovan, Nicanor Ilie","Lee, L James"
GRT00028697,"Moldovan, Nicanor Ilie","Mohler, Peter John"
GRT00028697,"Moldovan, Nicanor Ilie","Phillips, Gary S"
GRT00028697,"Belury, Martha","Gumina, Richard J"
GRT00028697,"Belury, Martha","Lee, L James"
GRT00028697,"Belury, Martha","Mohler, Peter John"
GRT00028697,"Belury, Martha","Phillips, Gary S"
GRT00028697,"Gumina, Richard J","Lee, L James"
GRT00028697,"Gumina, Richard J","Mohler, Peter John"
GRT00028697,"Gumina, Richard J","Phillips, Gary S"
GRT00028697,"Lee, L James","Mohler, Peter John"
GRT00028697,"Lee, L James","Phillips, Gary S"
GRT00028697,"Mohler, Peter John","Phillips, Gary S"
GRT00028698,"Ilangovan, Govindasamy","Druhan, Lawrence James"
GRT00028698,"Ilangovan, Govindasamy","Powell, Kimerly Ann"
GRT00028698,"Ilangovan, Govindasamy","Zweier, Jay Louis"
GRT00028698,"Druhan, Lawrence James","Powell, Kimerly Ann"
GRT00028698,"Druhan, Lawrence James","Zweier, Jay Louis"
GRT00028698,"Powell, Kimerly Ann","Zweier, Jay Louis"
GRT00028699,"Satoskar, Abhay R.","Bachelder, Eric M"
GRT00028700,"Mykytyn, Kirk A.","Askwith, Candice C."
GRT00028700,"Mykytyn, Kirk A.","Brown, Anthony"
GRT00028700,"Mykytyn, Kirk A.","Gu, Howard Haogang"
GRT00028700,"Askwith, Candice C.","Brown, Anthony"
GRT00028700,"Askwith, Candice C.","Gu, Howard Haogang"
GRT00028700,"Brown, Anthony","Gu, Howard Haogang"
GRT00028703,"Joseph, Brian Daniel","Mitsch, Jane Frances"
GRT00028705,"Sertel, Kubilay","Hitchcock, Charles Lawrence"
GRT00028705,"Sertel, Kubilay","Nahar, Niru Kamrun"
GRT00028705,"Hitchcock, Charles Lawrence","Nahar, Niru Kamrun"
GRT00028706,"Sertel, Kubilay","Nahar, Niru Kamrun"
GRT00028708,"Chen, Chi-Chih","Burkholder, Robert James"
GRT00028711,"Volakis, John Leonidas","Chen, Chi-Chih"
GRT00028712,"Siek, Gregory Paul","Kowalski, Jacqueline A."
GRT00028725,"Ghadiali, Samir N.","Gooch, Keith J"
GRT00028725,"Ghadiali, Samir N.","Powell, Heather Megan"
GRT00028725,"Ghadiali, Samir N.","Sen, Chandan K"
GRT00028725,"Ghadiali, Samir N.","Xu, Ronald Xiaorong"
GRT00028725,"Gooch, Keith J","Powell, Heather Megan"
GRT00028725,"Gooch, Keith J","Sen, Chandan K"
GRT00028725,"Gooch, Keith J","Xu, Ronald Xiaorong"
GRT00028725,"Powell, Heather Megan","Sen, Chandan K"
GRT00028725,"Powell, Heather Megan","Xu, Ronald Xiaorong"
GRT00028725,"Sen, Chandan K","Xu, Ronald Xiaorong"
GRT00028727,"Mazumder, Sandip","Sadayappan, P"
GRT00028728,"Sorby, Sheryl A","Soundarajan, Neelam"
GRT00028730,"Prakash, Shaurya","Conlisk, A Terrence"
GRT00028736,"Poirier, Michael Guy","Ottesen, Jennifer Jo"
GRT00028741,"Rajan, Siddharth","Ringel, Steven Adam"
GRT00028743,"Volakis, John Leonidas","Nahar, Niru Kamrun"
GRT00028745,"Johnson, Joel Tidmore","Burkholder, Robert James"
GRT00028745,"Johnson, Joel Tidmore","Chen, Chi-Chih"
GRT00028745,"Burkholder, Robert James","Chen, Chi-Chih"
GRT00028749,"Sertel, Kubilay","Nahar, Niru Kamrun"
