Proposal ID,Name,PI
GRT00028875,"Partridge, Mark",1
GRT00028876,"Wang, Jin",1
GRT00028877,"Walter, Mark Eugene",1
GRT00028878,"Li, Guoqiang",1
GRT00028879,"Lu, Wu",1
GRT00028880,"Lu, Wu",1
GRT00028881,"Kraut, Eric Harvey",1
GRT00028882,"Caligiuri, Michael A",1
GRT00028883,"Neef, Nancy A",1
GRT00028884,"Paul, Peter Vincent",1
GRT00028885,"Paul, Peter Vincent",1
GRT00028886,"Norton, Robert E",1
GRT00028887,"De Lucia, Frank Charles",1
GRT00028888,"Pradhan, Anil Kumar",1
GRT00028889,"Mishra, Anjali",1
GRT00028890,"Gillison, Maura Lianne",1
GRT00028891,"Lustberg, Maryam Beheshti",1
GRT00028892,"Toland, Amanda E",1
GRT00028893,"Gibbs, H Lisle",1
GRT00028894,"Klompen, Johannes Servatius H",1
GRT00028895,"Jacob, Naduparambil K",1
GRT00028896,"Khabiri, Hooman",1
GRT00028897,"Wickizer, Thomas Michael",1
GRT00028898,"Yilmaz, Burak",1
GRT00028899,"Ellis, Thomas James",1
GRT00028900,"Stevenson, Kurt B",1
GRT00028901,"Flanigan, David C.",1
GRT00028902,"Taylor, Christopher Alan",1
GRT00028903,"Weiss, William Paul",1
GRT00028904,"Christofi, Fedias Leontin",1
GRT00028905,"Havercamp, Susan Marie",1
GRT00028906,"Schlesinger, Larry Seth",1
GRT00028907,"Brill, Seuli M",1
GRT00028908,"Kolb, Stephen J",1
GRT00028909,"Pancholi, Vijay",1
GRT00028910,"Frankel, Wendy L",1
GRT00028911,"Liu, Zhongfa",1
GRT00028912,"Li, Chenglong",1
GRT00028913,"Li, Chenglong",1
GRT00028914,"Gilat, Amos",1
GRT00028915,"Gilat, Amos",1
GRT00028916,"Gilat, Amos",1
GRT00028917,"Singh, Rajendra",1
GRT00028918,"Wiet, Gregory James",1
GRT00028919,"Ausich, William Irl",1
GRT00028920,"Cao, Lei",1
GRT00028921,"Mackey, David M",1
GRT00028922,"Leone, Gustavo W.",1
GRT00028923,"Catalyurek, Umit V.",1
GRT00028924,"Mercer, Kristin Lee",1
GRT00028925,"Patterson, Emily S",1
GRT00028926,"Evans, Kevin David",1
GRT00028927,"Miller, Sally Ann",1
GRT00028928,"Mancl, Karen Marie",1
GRT00028929,"Li, Chenglong",1
GRT00028930,"Liu, Zhongfa",1
GRT00028931,"Huang, Kun",1
GRT00028933,"Doll, Heather Lynn",1
GRT00028934,"Barni, Marie T.",1
GRT00028935,"Payne, Philip",1
GRT00028936,"Onate, James Arthur",1
GRT00028937,"Bolte, John H",1
GRT00028938,"Li, Chenglong",1
GRT00028939,"Parvin, Jeffrey",1
GRT00028940,"Sen, Chandan K",1
GRT00028941,"Yoon, Sung Ok",1
GRT00028942,"Frankel, Wendy L",1
GRT00028943,"Kumar, Sandeep",1
GRT00028944,"Francis, David M",1
GRT00028945,"Witter, Jonathan D",1
GRT00028946,"Buck, Emily Brin",1
GRT00028947,"Kahraman, Ahmet",1
GRT00028948,"Volakis, John Leonidas",1
GRT00028949,"Park, Hay-Oak",1
GRT00028950,"Simcox, Amanda Alice",1
GRT00028951,"Slotkin, Richard Keith",1
GRT00028952,"Chamberlin, Helen M",1
GRT00028953,"Frank, Reanne",1
GRT00028954,"Rajan, Siddharth",1
GRT00028955,"Giusti, M Monica",1
GRT00028956,"Bakshi, Bhavik Ramesh",1
GRT00028957,"Miller, Hans",1
GRT00028958,"Payne, Philip",1
GRT00028960,"Garofalo, Michela",1
GRT00028961,"Tiu, Laura",1
GRT00028962,"Islam, Khandakar Rafiq",1
GRT00028963,"Tiu, Laura",1
GRT00028964,"McIlhatton, Michael Andrew",1
GRT00028965,"Wesolowski, Robert",1
GRT00028966,"Wang, Hanping Ping",1
GRT00028967,"Huebner, Frances Kay",1
GRT00028968,"Zaharieva-Milanova, Boriana Mihailova",1
GRT00028969,"Manchanda, Parmeet Kaur",1
GRT00028970,"Browning, Rebekah Lee",1
GRT00028971,"Guttridge, Denis Christian",1
GRT00028972,"Guttridge, Denis Christian",1
GRT00028973,"Worley, Charles Thomas",1
GRT00028974,"Worley, Charles Thomas",1
GRT00028975,"Worley, Charles Thomas",1
GRT00028976,"Croce, Carlo Maria",1
GRT00028977,"Croce, Carlo Maria",1
GRT00028978,"Volakis, John Leonidas",1
GRT00028979,"Croce, Carlo Maria",1
GRT00028980,"Johnson, Joel Tidmore",1
GRT00028981,"Koletar, Susan Lynn",1
GRT00028982,"Koletar, Susan Lynn",1
GRT00028983,"Byrd, John C",1
GRT00028984,"Turner, Brian Allen",1
GRT00028985,"Goldberg, Richard Miles",1
GRT00028988,"Lenhart, John Jerome",1
GRT00028989,"Shroff, Ness B",1
GRT00028990,"Lu, Wu",1
GRT00028991,"Olivo-Marston, Susan Elizabeth",1
GRT00028992,"Lee, Jiyoung",1
GRT00028993,"Klein, Elizabeth Gardner",1
GRT00028994,"Tiu, Laura",1
GRT00028995,"Rao, Xiaoquan",1
GRT00028996,"Groden, Joanna Louise",1
GRT00028997,"Jacob, Naduparambil K",1
GRT00028998,"Mohler, Peter John",1
GRT00028999,"Niewiesk, Stefan",1
GRT00029000,"Croce, Carlo Maria",1
GRT00029001,"Jacob, Naduparambil K",1
GRT00029002,"Jacob, Naduparambil K",1
GRT00029003,"Symer, David E",1
GRT00029004,"Croce, Carlo Maria",1
GRT00029005,"Otterson, Gregory A",1
GRT00029006,"Burkholder, Robert James",1
GRT00029007,"Gupta, Inder Jeet",1
GRT00029008,"Mallery, Susan Regina",1
GRT00029009,"Ekici, Eylem",1
GRT00029010,"Worley, Charles Thomas",1
GRT00029011,"Berger, Paul Raymond",1
GRT00029012,"Bolon, Brad Newland",1
GRT00029013,"Parvin, Jeffrey",1
GRT00029014,"Cash, Scottye J.",1
GRT00029015,"Bunger, Alicia Christine",1
GRT00029016,"Dutta, Prabir Kumar",1
GRT00029017,"Caldeira, Gregory Anthony",1
GRT00029018,"Knobloch-Westerwick, Silvia Margarete",1
GRT00029019,"Andersen, Barbara Lee",1
GRT00029020,"Mikami, Dean Jiro",1
GRT00029021,"Slotkin, Richard Keith",1
GRT00029022,"Lamb, Rebecca Sarah",1
GRT00029023,"Lepicki, Traci L",1
GRT00029024,"Dutta, Prabir Kumar",1
