Award ID,Name,PI,comma_loc,Name_fm,Name_l,Name_fml
GRT00016657,"Kendra, Kari L",1,7,Kari L,Kendra,kari l kendra
GRT00016682,"Yang, Fengyuan",1,5,Fengyuan,Yang,fengyuan yang
GRT00016761,"Berliner, L Mark",1,9,L Mark,Berliner,l mark berliner
GRT00016834,"Paskett, Electra Diane",1,8,Electra Diane,Paskett,electra diane paskett
GRT00017043,"Olencki, Thomas E",1,8,Thomas E,Olencki,thomas e olencki
GRT00017070,"Day, Michael Lee",1,4,Michael Lee,Day,michael lee day
GRT00017099,"Augostini, Ralph Sayre",1,10,Ralph Sayre,Augostini,ralph sayre augostini
GRT00017235,"Finer, John James",1,6,John James,Finer,john james finer
GRT00017374,"Panero, Wendy R",1,7,Wendy R,Panero,wendy r panero
GRT00017456,"Hofmeister, Craig C",1,11,Craig C,Hofmeister,craig c hofmeister
GRT00017468,"Kalbfleisch, Steven Jack",1,12,Steven Jack,Kalbfleisch,steven jack kalbfleisch
GRT00017471,"Shapiro, Charles Louis",1,8,Charles Louis,Shapiro,charles louis shapiro
GRT00017545,"Magorien, Raymond Daniel",1,9,Raymond Daniel,Magorien,raymond daniel magorien
GRT00017573,"Badjic, Jovica",1,7,Jovica,Badjic,jovica badjic
GRT00017618,"Pompili, Vincent John",1,8,Vincent John,Pompili,vincent john pompili
GRT00017624,"Frankel, Wendy L",1,8,Wendy L,Frankel,wendy l frankel
GRT00017649,"Gabriel, Tory A.",1,8,Tory A.,Gabriel,tory a gabriel
GRT00017717,"Khafizov, Marat",1,9,Marat,Khafizov,marat khafizov
GRT00017754,"Rovin, Brad Harris",1,6,Brad Harris,Rovin,brad harris rovin
GRT00017818,"Osei, Kwame",1,5,Kwame,Osei,kwame osei
GRT00017861,"Mohler, Peter John",1,7,Peter John,Mohler,peter john mohler
GRT00017961,"Hackshaw, Kevin Victor",1,9,Kevin Victor,Hackshaw,kevin victor hackshaw
GRT00017964,"Sood, Namita",1,5,Namita,Sood,namita sood
GRT00018065,"Frankel, Wendy L",1,8,Wendy L,Frankel,wendy l frankel
GRT00018068,"Heremans, Joseph P",1,9,Joseph P,Heremans,joseph p heremans
GRT00018167,"Caligiuri, Michael A",1,10,Michael A,Caligiuri,michael a caligiuri
GRT00018212,"Basta, Nicholas Thomas",1,6,Nicholas Thomas,Basta,nicholas thomas basta
GRT00018247,"Fisk, Harold A",1,5,Harold A,Fisk,harold a fisk
GRT00018297,"Virk, Subhdeep",1,5,Subhdeep,Virk,subhdeep virk
GRT00018305,"Casterline, John B",1,11,John B,Casterline,john b casterline
GRT00018311,"Miller, Sally Ann",1,7,Sally Ann,Miller,sally ann miller
GRT00018327,"Croce, Carlo Maria",1,6,Carlo Maria,Croce,carlo maria croce
