Name,Last Name,First Name,Byrd,SI - Climate,Flagged - Climate + Energy,Operating Unit,Title,Flagged - Other,Award ID,Award Title,Awd PI,Co-I,Department Prop,Awd Dept,Award Alloc,College,Sponsor Name Prop,Fed/Non,Awd Spnsr,Awd Spnsr Level,Awd Spnsr Type,Prime Spnsr,Prime Spnsr Level,Prime Spnsr Type,Total Amt,Start Date,End Date,Discovery Theme,Award FY,Award Type,Reference,Ref Awd Num,CFDA
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00059173,Fish management in Ohio FY21,"Ludsin,Stuart A","Marschall, Elizabeth Ann","Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,OH Division of Wildlife,Non,OH Division of Wildlife,OHIO,OHIO,US Fish and Wildlife Service,FED,DOIN,"1,400,000.00",07/01/2020,06/30/2021,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec; Disc Theme-Transl Data Analyt,2020,GR,Agreement dated 06/19/2020,Agreement dated 06/19/2020,15.605
"Ludsin, Stuart",Ludsin,Stuart,,Yes,No,"Evolution, Ecology, and Organismal Biology",Professor,,GRT00059186,Do summer cyanobacterial blooms negatively affect prey and commercial fish recruitment in the Great Lakes,"Ludsin,Stuart A","Manubolu, Manjunath","Evol, Ecology & Org Biology","Evol, Ecology & Org Biology",100.00,Arts and Sciences,Great Lakes Fishery Comsn,Non,Great Lakes Fishery Comsn,OTHR,PRVT,,,,"33,174.70",01/15/2020,01/14/2024,Disc Theme- Energy Environ; Disc Theme- Food Prodn Sec,2020,CON,2020_MAC_440940,2020_MAC_440940,
"Lyons, Berry",Lyons,Berry,Yes,Yes,No,,,,GRT00024400,Increased connectivity in a polar desert resulting from climate warming: The McMurdo Dry Valley LTER Program,"Lyons,William Berry",,Earth Sciences,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,Univ of Colorado,Non,Univ of Colorado,OTHR,COLL,NSF Div Polar Programs,FED,NSF,"261,978.00",04/15/2011,03/31/2016,,2015,GR,1548196,1548196,47.050
"Lyons, Berry",Lyons,Berry,Yes,Yes,No,,,,GRT00031531,Collaborative Research: The role of glacial history on the structure and functioning of ecological communities in the Shackleton Glacier Region of the Transantarctic Mountains,"Lyons,William Berry",,Earth Sciences,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,NSF Div Polar Programs,Fed,NSF Div Polar Programs,FED,NSF,,,,"114,413.00",09/01/2016,08/31/2019,,2017,GR,1341631,1341631,47.050
"Lyons, Berry",Lyons,Berry,Yes,Yes,No,,,,GRT00031640,"Cryptic hydrology of the McMurdo Dry Valleys: Water track contributions to water and geochemical budgets in Taylor Valley, Antarctica","Lyons,William Berry",,Earth Sciences,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,Univ of Texas at Austin,Non,Univ of Texas at Austin,OTHR,COLL,NSF Div Polar Programs,FED,NSF,"25,275.00",04/01/2013,08/31/2015,,2015,GR,UTA13-000571,UTA13-000571,47.078
"Lyons, Berry",Lyons,Berry,Yes,Yes,No,,,,GRT00039237,Collaborative research: Subglacial Antarctic Lakes Scientific Access (SALSA): Integrated study of carbon cycling in hydrologically-active subglacial environments,"Lyons,William Berry",,Earth Sciences,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,NSF Div Polar Programs,Fed,NSF Div Polar Programs,FED,NSF,,,,"102,449.00",09/15/2016,08/31/2019,Disc Theme- Energy Environ,2017,GR,1543453,1543453,47.050
"Lyons, Berry",Lyons,Berry,Yes,Yes,No,,,,GRT00045476,"Acquisition of a second-generation liquid water isotope analyzer for hydrological, glaciological, and geochemical research","Lyons,William Berry","Carey, Anne E; Cole, David Robert; Mark, Bryan Greenwood; Welch, Susan A",Geography,Byrd Polar & Climate Rsch Cntr,20.00,Office of Academic Affairs,NSF Div Earth Sciences,Fed,NSF Div Earth Sciences,FED,NSF,,,,"99,690.00",08/01/2017,07/31/2018,Disc Theme- Energy Environ,2018,GR,1707989,1707989,47.050
"Lyons, Berry",Lyons,Berry,Yes,Yes,No,,,,GRT00051877,Fe behavior and bioavailability in sub-aerial runoff into the Ross Sea,"Lyons,William Berry","Gardner, Christopher Brent",Earth Sciences,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,NSF Div Polar Programs,Fed,NSF Div Polar Programs,FED,NSF,,,,"367,676.00",07/15/2019,06/30/2022,Disc Theme- Energy Environ,2020,GR,1841228,1841228,47.050
"Ma, Qin",Ma,Qin,,,No,,,Flag,GRT00054780,Construction of cell specific gene co-regulations signatures based on single cell transcriptomics analysis,"Ma,Qin",,SBS-Biomedical Informatics,SBS-Biomedical Informatics,100.00,College of Medicine,Nat Inst Gen Medical Scis,Fed,Nat Inst Gen Medical Scis,FED,NIH,,,,"514,906.42",03/01/2019,08/31/2022,Disc Theme- Health Wellness; Disc Theme-Transl Data Analyt,2020,GR,7R01GM131399-02,R01GM131399,93.859
"Ma, Qin",Ma,Qin,,,No,,,Flag,GRT00055295,Adapting perennial crops for climate change: Graft transmissible effects on grapevine shoots,"Ma,Qin",,SBS-Biomedical Informatics,SBS-Biomedical Informatics,100.00,College of Medicine,South Dakota State University,Non,South Dakota State University,OTHR,COLL,NSF Integrative Organismal Biology,FED,NSF,"102,702.00",01/01/2019,08/31/2021,Disc Theme- Health Wellness,2019,GR,3TC341,3TC341,47.074
"Mark, Bryan",Mark,Bryan,Yes,Yes,No,Geography,Professor,,GRT00030129,Collaborative Research: Groundwater-surface water interactions in tropical alpine catchments and their influence on sources and stability of water supply during glacial recession,"Mark,Bryan Greenwood",,Geography,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,NSF Div Earth Sciences,Fed,NSF Div Earth Sciences,FED,NSF,,,,"5,000.00",07/01/2013,06/30/2017,,2016,GR,EAR-1316432,1316432,47.050
"Mark, Bryan",Mark,Bryan,Yes,Yes,No,Geography,Professor,,GRT00034490,"Doctoral dissertation research: Assessing variability in high elevation soil moisture: Integrating unmanned aerial vehicles, satellites, and field hydrology","Mark,Bryan Greenwood","Wigmore, Oliver Henry",Geography,Byrd Polar & Climate Rsch Cntr,100.00,Office of Academic Affairs,NSF Behavioral & Cognitive Sciences,Fed,NSF Behavioral & Cognitive Sciences,FED,NSF,,,,"15,999.00",08/15/2014,01/31/2017,Disc Theme- Energy Environ,2015,GR,BCS-1434248,BCS-1434248,47.075
"Mark, Bryan",Mark,Bryan,Yes,Yes,No,Geography,Professor,,GRT00045088,Ohio Ag Weather Network Upgrade,"Mark,Bryan Greenwood",,Geography,Geography,100.00,Arts and Sciences,"Global Science & Technology, Inc.",Non,"Global Science & Technology, Inc.",IND,INOT,,,,"8,000.00",09/28/2016,11/27/2016,Disc Theme- None Selected,2017,CON,Agreement dated 10/4/16,Agreement dated 10/4/16,
"Mark, Bryan",Mark,Bryan,Yes,Yes,No,Geography,Professor,,GRT00060083,Examining fire regime variability along an elevation gradient in Great Basin National Park during the last two millennia,"Mark,Bryan Greenwood","DeGrand, James Qualls",Geography,Geography,100.00,Arts and Sciences,National Park Service,Fed,National Park Service,FED,DOIN,Western National Parks Association,OTHR,PRVT,"2,500.00",01/01/2020,12/31/2022,Disc Theme- Energy Environ,2020,GR,#20-04,Agreement Dated 06/01/2020,
"Martin, Jay",Martin,Jay,,,No,FABE,,,GRT00040686,Soil and watershed assessment tool,"Martin,Jay Franklin",,"Food, Agr & Biological Eng","Food, Agr & Biological Eng",100.00,"College of Food, Ag & Environ",Univ of Michigan,Non,Univ of Michigan,OTHR,COLL,Fred A. and Barbara M. Erb Family Fdn,OTHR,PRVT,"76,939.00",07/15/2015,07/31/2016,Disc Theme- Energy Environ,2016,GR,3003666294,3003666294,
